Mode,N,M,K,PartitionType,TimeMs,Operations,Run
Parallel,10,5,100,Range-IndexDep,0.1985,55,2
Parallel,10,5,100,Range-IndexDep,0.1715,55,3
Parallel,10,5,100,Circular-IndexDep,0.1788,55,1
Parallel,10,5,100,Circular-IndexDep,0.2339,55,2
Parallel,10,5,100,Circular-IndexDep,0.2412,55,3
Parallel,10,10,1,Range-Uniform,0.371,10,1
Parallel,10,10,1,Range-Uniform,0.4138,10,2
Parallel,10,10,1,Range-Uniform,0.3634,10,3
Parallel,10,10,1,Circular-Uniform,0.4386,10,1
Parallel,10,10,1,Circular-Uniform,0.4045,10,2
Parallel,10,10,1,Circular-Uniform,0.5081,10,3
Parallel,10,10,1,Range-IndexDep,0.4514,10,1
Parallel,10,10,1,Range-IndexDep,0.6371,10,2
Parallel,10,10,1,Range-IndexDep,0.6857,10,3
Parallel,10,10,1,Circular-IndexDep,0.6573,10,1
Parallel,10,10,1,Circular-IndexDep,0.4275,10,2
Parallel,10,10,1,Circular-IndexDep,0.4217,10,3
Parallel,10,10,10,Range-Uniform,0.3772,100,1
Parallel,10,10,10,Range-Uniform,0.4474,100,2
Parallel,10,10,10,Range-Uniform,0.3999,100,3
Parallel,10,10,10,Circular-Uniform,0.8584,100,1
Parallel,10,10,10,Circular-Uniform,0.5127,100,2
Parallel,10,10,10,Circular-Uniform,0.4572,100,3
Parallel,10,10,10,Range-IndexDep,0.4061,55,1
Parallel,10,10,10,Range-IndexDep,0.4435,55,2
Parallel,10,10,10,Range-IndexDep,0.7384,55,3
Parallel,10,10,10,Circular-IndexDep,0.6784,55,1
Parallel,10,10,10,Circular-IndexDep,0.4656,55,2
Parallel,10,10,10,Circular-IndexDep,0.4297,55,3
Parallel,10,10,100,Range-Uniform,0.4509,1000,1
Parallel,10,10,100,Range-Uniform,0.4867,1000,2
Parallel,10,10,100,Range-Uniform,0.5279,1000,3
Parallel,10,10,100,Circular-Uniform,0.4204,1000,1
Parallel,10,10,100,Circular-Uniform,0.4997,1000,2
Parallel,10,10,100,Circular-Uniform,0.412,1000,3
Parallel,10,10,100,Range-IndexDep,0.4895,55,1
Parallel,10,10,100,Range-IndexDep,0.5972,55,2
Parallel,10,10,100,Range-IndexDep,0.4891,55,3
Parallel,10,10,100,Circular-IndexDep,0.3937,55,1
Parallel,10,10,100,Circular-IndexDep,0.3201,55,2
Parallel,10,10,100,Circular-IndexDep,0.3932,55,3
Parallel,100,2,1,Range-Uniform,0.0717,100,1
Parallel,100,2,1,Range-Uniform,0.0629,100,2
Parallel,100,2,1,Range-Uniform,0.1121,100,3
Parallel,100,2,1,Circular-Uniform,0.1148,100,1
Parallel,100,2,1,Circular-Uniform,0.1154,100,2
Parallel,100,2,1,Circular-Uniform,0.0945,100,3
Parallel,100,2,1,Range-IndexDep,0.1304,100,1
Parallel,100,2,1,Range-IndexDep,0.0766,100,2
Parallel,100,2,1,Range-IndexDep,0.0764,100,3
Parallel,100,2,1,Circular-IndexDep,0.074,100,1
Parallel,100,2,1,Circular-IndexDep,0.0665,100,2
Parallel,100,2,1,Circular-IndexDep,0.0618,100,3
Parallel,100,2,10,Range-Uniform,0.087,1000,1
Parallel,100,2,10,Range-Uniform,0.0709,1000,2
Parallel,100,2,10,Range-Uniform,0.0678,1000,3
Parallel,100,2,10,Circular-Uniform,0.0597,1000,1
Parallel,100,2,10,Circular-Uniform,0.062,1000,2
Parallel,100,2,10,Circular-Uniform,0.0952,1000,3
Parallel,100,2,10,Range-IndexDep,0.0814,955,1
Parallel,100,2,10,Range-IndexDep,0.0745,955,2
Parallel,100,2,10,Range-IndexDep,0.0738,955,3
Parallel,100,2,10,Circular-IndexDep,0.0828,955,1
Parallel,100,2,10,Circular-IndexDep,0.0777,955,2
Parallel,100,2,10,Circular-IndexDep,0.0665,955,3
Parallel,100,2,100,Range-Uniform,0.1153,10000,1
Parallel,100,2,100,Range-Uniform,0.1668,10000,2
Parallel,100,2,100,Range-Uniform,0.1501,10000,3
Parallel,100,2,100,Circular-Uniform,0.2195,10000,1
Parallel,100,2,100,Circular-Uniform,0.142,10000,2
Parallel,100,2,100,Circular-Uniform,0.1335,10000,3
Parallel,100,2,100,Range-IndexDep,0.1024,5050,1
Parallel,100,2,100,Range-IndexDep,0.101,5050,2
Parallel,100,2,100,Range-IndexDep,0.0959,5050,3
Parallel,100,2,100,Circular-IndexDep,0.0825,5050,1
Parallel,100,2,100,Circular-IndexDep,0.0787,5050,2
Parallel,100,2,100,Circular-IndexDep,0.0847,5050,3
Parallel,100,3,1,Range-Uniform,0.1027,100,1
Parallel,100,3,1,Range-Uniform,0.0862,100,2
Parallel,100,3,1,Range-Uniform,0.0972,100,3
Parallel,100,3,1,Circular-Uniform,0.1005,100,1
Parallel,100,3,1,Circular-Uniform,0.1807,100,2
Parallel,100,3,1,Circular-Uniform,0.2337,100,3
Parallel,100,3,1,Range-IndexDep,0.4013,100,1
Parallel,100,3,1,Range-IndexDep,0.2485,100,2
Parallel,100,3,1,Range-IndexDep,0.2752,100,3
Parallel,100,3,1,Circular-IndexDep,0.365,100,1
Parallel,100,3,1,Circular-IndexDep,1.4851,100,2
Parallel,100,3,1,Circular-IndexDep,0.846,100,3
Parallel,100,3,10,Range-Uniform,0.4874,1000,1
Parallel,100,3,10,Range-Uniform,0.3594,1000,2
Parallel,100,3,10,Range-Uniform,0.3238,1000,3
Parallel,100,3,10,Circular-Uniform,0.2912,1000,1
Parallel,100,3,10,Circular-Uniform,0.2364,1000,2
Parallel,100,3,10,Circular-Uniform,0.3297,1000,3
Parallel,100,3,10,Range-IndexDep,0.2015,955,1
Parallel,100,3,10,Range-IndexDep,0.2743,955,2
Parallel,100,3,10,Range-IndexDep,0.2777,955,3
Parallel,100,3,10,Circular-IndexDep,0.2397,955,1
Parallel,100,3,10,Circular-IndexDep,0.3031,955,2
Parallel,100,3,10,Circular-IndexDep,0.1895,955,3
Parallel,100,3,100,Range-Uniform,0.2798,10000,1
Parallel,100,3,100,Range-Uniform,0.2995,10000,2
Parallel,100,3,100,Range-Uniform,0.306,10000,3
Parallel,100,3,100,Circular-Uniform,0.1623,10000,1
Parallel,100,3,100,Circular-Uniform,0.3797,10000,2
Parallel,100,3,100,Circular-Uniform,0.3268,10000,3
Parallel,100,3,100,Range-IndexDep,0.4563,5050,1
Parallel,100,3,100,Range-IndexDep,0.3476,5050,2
Parallel,100,3,100,Range-IndexDep,0.23,5050,3
Parallel,100,3,100,Circular-IndexDep,0.202,5050,1
Parallel,100,3,100,Circular-IndexDep,0.3404,5050,2
Parallel,100,3,100,Circular-IndexDep,0.3025,5050,3
Parallel,100,4,1,Range-Uniform,0.377,100,1
Parallel,100,4,1,Range-Uniform,0.5263,100,2
Parallel,100,4,1,Range-Uniform,0.3448,100,3
Parallel,100,4,1,Circular-Uniform,0.3597,100,1
Parallel,100,4,1,Circular-Uniform,0.2488,100,2
Parallel,100,4,1,Circular-Uniform,0.1424,100,3
Parallel,100,4,1,Range-IndexDep,1.4043,100,1
Parallel,100,4,1,Range-IndexDep,0.4077,100,2
Parallel,100,4,1,Range-IndexDep,0.3417,100,3
Parallel,100,4,1,Circular-IndexDep,0.2193,100,1
Parallel,100,4,1,Circular-IndexDep,0.1911,100,2
Parallel,100,4,1,Circular-IndexDep,0.2576,100,3
Parallel,100,4,10,Range-Uniform,0.1918,1000,1
Parallel,100,4,10,Range-Uniform,0.1913,1000,2
Parallel,100,4,10,Range-Uniform,0.2236,1000,3
Parallel,100,4,10,Circular-Uniform,0.1512,1000,1
Parallel,100,4,10,Circular-Uniform,0.1791,1000,2
Parallel,100,4,10,Circular-Uniform,0.1516,1000,3
Parallel,100,4,10,Range-IndexDep,0.1086,955,1
Parallel,100,4,10,Range-IndexDep,0.1791,955,2
Parallel,100,4,10,Range-IndexDep,0.299,955,3
Parallel,100,4,10,Circular-IndexDep,0.271,955,1
Parallel,100,4,10,Circular-IndexDep,0.2552,955,2
Parallel,100,4,10,Circular-IndexDep,0.1927,955,3
Parallel,100,4,100,Range-Uniform,0.2356,10000,1
Parallel,100,4,100,Range-Uniform,0.1864,10000,2
Parallel,100,4,100,Range-Uniform,0.147,10000,3
Parallel,100,4,100,Circular-Uniform,0.1712,10000,1
Parallel,100,4,100,Circular-Uniform,0.1422,10000,2
Parallel,100,4,100,Circular-Uniform,0.1365,10000,3
Parallel,100,4,100,Range-IndexDep,0.1789,5050,1
Parallel,100,4,100,Range-IndexDep,0.2221,5050,2
Parallel,100,4,100,Range-IndexDep,0.1876,5050,3
Parallel,100,4,100,Circular-IndexDep,0.145,5050,1
Parallel,100,4,100,Circular-IndexDep,0.1766,5050,2
Parallel,100,4,100,Circular-IndexDep,0.1945,5050,3
Parallel,100,5,1,Range-Uniform,0.248,100,1
Parallel,100,5,1,Range-Uniform,0.2327,100,2
Parallel,100,5,1,Range-Uniform,0.2458,100,3
Parallel,100,5,1,Circular-Uniform,0.204,100,1
Parallel,100,5,1,Circular-Uniform,0.1865,100,2
Parallel,100,5,1,Circular-Uniform,0.1866,100,3
Parallel,100,5,1,Range-IndexDep,0.169,100,1
Parallel,100,5,1,Range-IndexDep,0.2018,100,2
Parallel,100,5,1,Range-IndexDep,0.17,100,3
Parallel,100,5,1,Circular-IndexDep,0.1663,100,1
Parallel,100,5,1,Circular-IndexDep,0.2163,100,2
Parallel,100,5,1,Circular-IndexDep,0.1862,100,3
Parallel,100,5,10,Range-Uniform,0.2286,1000,1
Parallel,100,5,10,Range-Uniform,0.2313,1000,2
Parallel,100,5,10,Range-Uniform,0.2506,1000,3
Parallel,100,5,10,Circular-Uniform,0.1979,1000,1
Parallel,100,5,10,Circular-Uniform,0.2496,1000,2
Parallel,100,5,10,Circular-Uniform,0.2991,1000,3
Parallel,100,5,10,Range-IndexDep,0.2831,955,1
Parallel,100,5,10,Range-IndexDep,0.2134,955,2
Parallel,100,5,10,Range-IndexDep,0.1765,955,3
Parallel,100,5,10,Circular-IndexDep,0.2105,955,1
Parallel,100,5,10,Circular-IndexDep,0.1702,955,2
Parallel,100,5,10,Circular-IndexDep,0.1637,955,3
Parallel,100,5,100,Range-Uniform,0.1957,10000,1
Parallel,100,5,100,Range-Uniform,0.2052,10000,2
Parallel,100,5,100,Range-Uniform,0.2163,10000,3
Parallel,100,5,100,Circular-Uniform,0.1645,10000,1
Parallel,100,5,100,Circular-Uniform,0.1902,10000,2
Parallel,100,5,100,Circular-Uniform,0.2398,10000,3
Parallel,100,5,100,Range-IndexDep,0.1702,5050,1
Parallel,100,5,100,Range-IndexDep,0.1673,5050,2
Parallel,100,5,100,Range-IndexDep,0.1616,5050,3
Parallel,100,5,100,Circular-IndexDep,0.2031,5050,1
Parallel,100,5,100,Circular-IndexDep,0.1665,5050,2
Parallel,100,5,100,Circular-IndexDep,0.1682,5050,3
Parallel,100,10,1,Range-Uniform,0.3966,100,1
Parallel,100,10,1,Range-Uniform,0.3774,100,2
Parallel,100,10,1,Range-Uniform,0.293,100,3
Parallel,100,10,1,Circular-Uniform,0.5031,100,1
Parallel,100,10,1,Circular-Uniform,0.7139,100,2
Parallel,100,10,1,Circular-Uniform,0.4623,100,3
Parallel,100,10,1,Range-IndexDep,0.508,100,1
Parallel,100,10,1,Range-IndexDep,0.345,100,2
Parallel,100,10,1,Range-IndexDep,0.3681,100,3
Parallel,100,10,1,Circular-IndexDep,0.3677,100,1
Parallel,100,10,1,Circular-IndexDep,0.3556,100,2
Parallel,100,10,1,Circular-IndexDep,0.3508,100,3
Parallel,100,10,10,Range-Uniform,0.2952,1000,1
Parallel,100,10,10,Range-Uniform,0.4505,1000,2
Parallel,100,10,10,Range-Uniform,0.4166,1000,3
Parallel,100,10,10,Circular-Uniform,0.4347,1000,1
Parallel,100,10,10,Circular-Uniform,0.3347,1000,2
Parallel,100,10,10,Circular-Uniform,0.6275,1000,3
Parallel,100,10,10,Range-IndexDep,0.4709,955,1
Parallel,100,10,10,Range-IndexDep,0.4817,955,2
Parallel,100,10,10,Range-IndexDep,0.655,955,3
Parallel,100,10,10,Circular-IndexDep,0.385,955,1
Parallel,100,10,10,Circular-IndexDep,0.3965,955,2
Parallel,100,10,10,Circular-IndexDep,0.2975,955,3
Parallel,100,10,100,Range-Uniform,0.3764,10000,1
Parallel,100,10,100,Range-Uniform,0.4025,10000,2
Parallel,100,10,100,Range-Uniform,0.3795,10000,3
Parallel,100,10,100,Circular-Uniform,0.3929,10000,1
Parallel,100,10,100,Circular-Uniform,0.4791,10000,2
Parallel,100,10,100,Circular-Uniform,0.3421,10000,3
Parallel,100,10,100,Range-IndexDep,0.4225,5050,1
Parallel,100,10,100,Range-IndexDep,0.4796,5050,2
Parallel,100,10,100,Range-IndexDep,0.4429,5050,3
Parallel,100,10,100,Circular-IndexDep,0.3993,5050,1
Parallel,100,10,100,Circular-IndexDep,0.393,5050,2
Parallel,100,10,100,Circular-IndexDep,0.321,5050,3
Parallel,1000,2,1,Range-Uniform,0.0737,1000,1
Parallel,1000,2,1,Range-Uniform,0.066,1000,2
Parallel,1000,2,1,Range-Uniform,0.0864,1000,3
Parallel,1000,2,1,Circular-Uniform,0.0807,1000,1
Parallel,1000,2,1,Circular-Uniform,0.0711,1000,2
Parallel,1000,2,1,Circular-Uniform,0.0749,1000,3
Parallel,1000,2,1,Range-IndexDep,0.0685,1000,1
Parallel,1000,2,1,Range-IndexDep,0.0742,1000,2
Parallel,1000,2,1,Range-IndexDep,0.066,1000,3
Parallel,1000,2,1,Circular-IndexDep,0.0616,1000,1
Parallel,1000,2,1,Circular-IndexDep,0.0695,1000,2
Parallel,1000,2,1,Circular-IndexDep,0.0643,1000,3
Parallel,1000,2,10,Range-Uniform,0.1242,10000,1
Parallel,1000,2,10,Range-Uniform,0.2163,10000,2
Parallel,1000,2,10,Range-Uniform,0.1536,10000,3
Parallel,1000,2,10,Circular-Uniform,0.1255,10000,1
Parallel,1000,2,10,Circular-Uniform,0.1409,10000,2
Parallel,1000,2,10,Circular-Uniform,0.1373,10000,3
Parallel,1000,2,10,Range-IndexDep,0.204,9955,1
Parallel,1000,2,10,Range-IndexDep,0.2104,9955,2
Parallel,1000,2,10,Range-IndexDep,0.15,9955,3
Parallel,1000,2,10,Circular-IndexDep,0.1625,9955,1
Parallel,1000,2,10,Circular-IndexDep,0.168,9955,2
Parallel,1000,2,10,Circular-IndexDep,0.1392,9955,3
Parallel,1000,2,100,Range-Uniform,2.5174,100000,1
Parallel,1000,2,100,Range-Uniform,2.6648,100000,2
Parallel,1000,2,100,Range-Uniform,2.4218,100000,3
Parallel,1000,2,100,Circular-Uniform,2.4659,100000,1
Parallel,1000,2,100,Circular-Uniform,2.3426,100000,2
Parallel,1000,2,100,Circular-Uniform,2.4175,100000,3
Parallel,1000,2,100,Range-IndexDep,2.2319,95050,1
Parallel,1000,2,100,Range-IndexDep,2.6801,95050,2
Parallel,1000,2,100,Range-IndexDep,2.1897,95050,3
Parallel,1000,2,100,Circular-IndexDep,1.8565,95050,1
Parallel,1000,2,100,Circular-IndexDep,2.1832,95050,2
Parallel,1000,2,100,Circular-IndexDep,2.649,95050,3
Parallel,1000,3,1,Range-Uniform,0.1214,1000,1
Parallel,1000,3,1,Range-Uniform,0.1091,1000,2
Parallel,1000,3,1,Range-Uniform,0.1095,1000,3
Parallel,1000,3,1,Circular-Uniform,0.1082,1000,1
Parallel,1000,3,1,Circular-Uniform,0.5415,1000,2
Parallel,1000,3,1,Circular-Uniform,0.1724,1000,3
Parallel,1000,3,1,Range-IndexDep,0.1734,1000,1
Parallel,1000,3,1,Range-IndexDep,0.1808,1000,2
Parallel,1000,3,1,Range-IndexDep,0.1638,1000,3
Parallel,1000,3,1,Circular-IndexDep,0.1032,1000,1
Parallel,1000,3,1,Circular-IndexDep,0.1033,1000,2
Parallel,1000,3,1,Circular-IndexDep,0.1015,1000,3
Parallel,1000,3,10,Range-Uniform,0.1011,10000,1
Parallel,1000,3,10,Range-Uniform,0.1205,10000,2
Parallel,1000,3,10,Range-Uniform,0.1877,10000,3
Parallel,1000,3,10,Circular-Uniform,0.1196,10000,1
Parallel,1000,3,10,Circular-Uniform,0.1399,10000,2
Parallel,1000,3,10,Circular-Uniform,0.1548,10000,3
Parallel,1000,3,10,Range-IndexDep,0.1886,9955,1
Parallel,1000,3,10,Range-IndexDep,0.2603,9955,2
Parallel,1000,3,10,Range-IndexDep,0.2297,9955,3
Parallel,1000,3,10,Circular-IndexDep,0.1442,9955,1
Parallel,1000,3,10,Circular-IndexDep,0.1422,9955,2
Parallel,1000,3,10,Circular-IndexDep,0.1725,9955,3
Parallel,1000,3,100,Range-Uniform,2.5153,100000,1
Parallel,1000,3,100,Range-Uniform,2.5291,100000,2
Parallel,1000,3,100,Range-Uniform,2.5515,100000,3
Parallel,1000,3,100,Circular-Uniform,2.4909,100000,1
Parallel,1000,3,100,Circular-Uniform,2.3907,100000,2
Parallel,1000,3,100,Circular-Uniform,2.085,100000,3
Parallel,1000,3,100,Range-IndexDep,2.4518,95050,1
Parallel,1000,3,100,Range-IndexDep,2.1693,95050,2
Parallel,1000,3,100,Range-IndexDep,2.5025,95050,3
Parallel,1000,3,100,Circular-IndexDep,2.143,95050,1
Parallel,1000,3,100,Circular-IndexDep,2.0472,95050,2
Parallel,1000,3,100,Circular-IndexDep,2.5972,95050,3
Parallel,1000,4,1,Range-Uniform,0.2967,1000,1
Parallel,1000,4,1,Range-Uniform,0.1387,1000,2
Parallel,1000,4,1,Range-Uniform,0.127,1000,3
Parallel,1000,4,1,Circular-Uniform,0.1311,1000,1
Parallel,1000,4,1,Circular-Uniform,0.1234,1000,2
Parallel,1000,4,1,Circular-Uniform,0.1411,1000,3
Parallel,1000,4,1,Range-IndexDep,0.1247,1000,1
Parallel,1000,4,1,Range-IndexDep,0.1336,1000,2
Parallel,1000,4,1,Range-IndexDep,0.1276,1000,3
Parallel,1000,4,1,Circular-IndexDep,0.1845,1000,1
